"";"contributeurs";"isanon";"status_contrib";"total_rev_count";"registration_year"
"4747";"151.204.249.117";"1";"anonyme";"12";"2005"
"4748";"212.123.153.7";"1";"anonyme";"1";"2005"
"4749";"Dismas";"0";"inscrit";"78599";"2003"
"4752";"222.124.235.139";"1";"anonyme";"3";"2005"
"4753";"130.132.39.51";"1";"anonyme";"5";"2005"
"4760";"68.198.97.36";"1";"anonyme";"28";"2005"
"4766";"68.54.161.77";"1";"anonyme";"6";"2005"
"4767";"24.21.206.193";"1";"anonyme";"5";"2005"
"4768";"67.150.90.88";"1";"anonyme";"2";"2005"
"4837";"Jobe6";"0";"inscrit";"3408";"2004"
"4905";"Amberrock";"0";"admin";"13449";"2005"
"4907";"24.245.10.44";"1";"anonyme";"7";"2005"
"4909";"83.151.206.73";"1";"anonyme";"1";"2005"
"4911";"24.24.210.136";"1";"anonyme";"2";"2005"
"4913";"66.66.249.129";"1";"anonyme";"1";"2005"
"4915";"70.132.42.80";"1";"anonyme";"94";"2005"
"4917";"24.242.39.196";"1";"anonyme";"4";"2005"
"4920";"JLaTondre";"0";"admin";"43690";"2005"
"4922";"Mad_Hatter";"0";"inscrit";"15279";"2004"
"4929";"66.248.122.207";"1";"anonyme";"2";"2005"
"4931";"Mac_Davis";"0";"inscrit";"8054";"2004"
"4936";"Keepsleeping";"0";"inscrit";"2769";"2004"
"4938";"59.183.16.253";"1";"anonyme";"3";"2005"
"4939";"65.27.109.28";"1";"anonyme";"1";"2005"
"4942";"59.183.30.156";"1";"anonyme";"1";"2005"
"4946";"NetBot";"0";"inscrit";"14155";"2004"
"4948";"Ericorbit";"0";"admin";"57354";"2005"
"4963";"Chris3145";"0";"inscrit";"282";"2005"
"4971";"24.20.181.127";"1";"anonyme";"16";"2004"
"4973";"200.126.66.34";"1";"anonyme";"2";"2005"
"4977";"66.75.110.44";"1";"anonyme";"53";"2005"
"4978";"Thane";"0";"inscrit";"8753";"2005"
"4980";"12.202.152.22";"1";"anonyme";"3";"2005"
"4981";"Mnuccio2";"0";"inscrit";"10";"2004"
"4987";"68.81.34.230";"1";"anonyme";"38";"2005"
